query,parameter,optimizer_runtime,nested_runtime,hash_runtime,best_runtime,optimizer_loss
query_cast_name,1950,112729.221,232939.841,100703.088,100703.088,12026.133000000002
query_cast_name,1955,106795.235,226032.847,93256.453,93256.453,13538.782000000007
query_cast_name,1960,100752.46,223890.827,94798.531,94798.531,5953.929000000004
query_cast_name,1965,94002.042,178498.645,77691.688,77691.688,16310.354000000007
query_cast_name,1970,63241.456,150678.51,57382.094,57382.094,5859.362000000001
query_cast_name,1975,54906.439,121708.534,53893.006,53893.006,1013.4329999999973
query_cast_name,1980,56782.185,119809.388,54511.107,54511.107,2271.077999999994
query_cast_name,1985,55508.049,120430.281,49446.003,49446.003,6062.046000000002
query_cast_name,1990,53818.262,114046.727,52242.823,52242.823,1575.4390000000058
query_cast_name,1995,53688.326,110924.791,47028.424,47028.424,6659.902000000002
query_cast_name,2000,47356.19,104254.298,47594.388,47594.388,-238.19799999999668
query_cast_name,2005,44061.772,91346.613,43132.74,43132.74,929.0319999999992
query_cast_name,2010,44170.602,90180.798,44120.433,44120.433,50.16900000000169
query_cast_name,2015,50404.258,73436.948,42704.867,42704.867,7699.391000000003
query_cast_name,2020,41324.39,52132.041,47720.345,47720.345,-6395.955000000002
query_with_ratings,1950,44285.345,68965.445,45021.597,45021.597,-736.2520000000004
query_with_ratings,1955,44740.625,69213.12,44589.775,44589.775,150.84999999999854
query_with_ratings,1960,45066.078,60791.859,52170.829,52170.829,-7104.750999999997
query_with_ratings,1965,50863.84,62208.58,40270.737,40270.737,10593.102999999996
query_with_ratings,1970,41986.124,59777.93,42116.227,42116.227,-130.10299999999552
query_with_ratings,1975,42306.379,65941.804,39373.111,39373.111,2933.2680000000037
query_with_ratings,1980,35865.476,51232.957,43247.369,43247.369,-7381.892999999996
query_with_ratings,1985,42241.922,46899.836,31472.721,31472.721,10769.200999999997
query_with_ratings,1990,32259.414,43859.991,33292.997,33292.997,-1033.5830000000024
query_with_ratings,1995,35734.655,42649.054,33910.181,33910.181,1824.474000000002
query_with_ratings,2000,33081.189,43496.154,30997.919,30997.919,2083.269999999997
query_with_ratings,2005,31352.264,38304.926,30640.725,30640.725,711.5390000000007
query_with_ratings,2010,31105.33,35464.853,32369.333,32369.333,-1264.002999999997
query_with_ratings,2015,83310.252,117482.289,215146.834,117482.289,-34172.03700000001
query_with_ratings,2020,76960.278,59476.837,69903.05,59476.837,17483.441000000006
query_votes_selectivity,0,7126.374,5771.662,4852.295,4852.295,2274.0789999999997
query_votes_selectivity,2000,488.199,417.748,2639.659,417.748,70.45100000000002
query_votes_selectivity,4000,314.988,294.862,2461.019,294.862,20.125999999999976
query_votes_selectivity,6000,289.619,250.531,2711.329,250.531,39.08800000000002
query_votes_selectivity,8000,232.333,178.682,1901.204,178.682,53.65100000000001
query_votes_selectivity,10000,208.102,139.606,3606.443,139.606,68.49600000000001
query_votes_selectivity,12000,184.19,125.156,1474.645,125.156,59.03399999999999
query_votes_selectivity,14000,114.214,115.299,1682.014,115.299,-1.085000000000008
query_votes_selectivity,16000,123.295,131.464,2251.462,131.464,-8.168999999999997
query_votes_selectivity,18000,197.987,159.309,2529.086,159.309,38.678
